grower,farm,field,field_fvid,lat,lng,year,tmin,tmax,gdd,cpba_count,cpba_value,cpbl_count,cpbl_value,cum_gdd
Wisconsin Central Farms,WCF,1 Necedah,62992,44.05716407,-90.04041199,2014,44.815974011961174,83.17363264076549,13.772113070773443,3.3076923076923075,3.3076923076923075,3.9,3.9,1727.8957206055554
Wisconsin Central Farms,WCF,13 Nepco N 1/2,62996,44.20940619,-90.02138235,2014,45.49832801890882,79.71337002260537,12.804045292766299,4.5625,4.5,8.714285714285714,8.5,1258.997049827616
Wisconsin Central Farms,WCF,16 13th St,62999,44.10077545,-90.05052403,2014,45.22496379527056,82.7618414681425,14.26357784054258,1.6375,1.781818181818182,2.1900000000000004,2.1900000000000004,1688.0668903357737
Wisconsin Central Farms,WCF,26 Huebner,63009,44.17160647,-89.97587729,2014,45.58438719892857,82.21666452380475,13.29273737798992,2.1818181818181817,2.0,4.555555555555555,4.555555555555555,1500.8925414373705
Wisconsin Central Farms,WCF,7 N Home,63016,44.32976188,-89.93130015,2014,45.715178544157,78.72756811028236,12.237353895057858,1.2,1.2,5.5,5.5,1011.6821929974608
Wisconsin Central Farms,WCF,9 Oltesvig,63017,44.27475525,-89.94997499,2014,45.76893741661774,82.12957560988524,13.549157674646853,2.1454545454545455,2.1454545454545455,2.55,2.55,1599.9885748617032
Signature Farms,Signature Farms,Brewster S,63105,43.99964094,-89.88272054,2014,50.81000000000009,85.684503486392,17.572028760215545,0.6681818181818181,0.71,0.9227272727272727,0.99,1756.0229155075858
Signature Farms,Signature Farms,Church Grain Bin East,63110,43.93368536,-89.66092758,2014,50.844481898701986,87.50047903806049,17.87539015663801,3.0,3.1818181818181817,7.65,7.65,1685.859699599755
Signature Farms,Signature Farms,Church Grain Bin West,63111,43.9344306,-89.66564034,2014,50.84126246760373,87.53914946825728,17.976517285184627,2.6818181818181817,2.6818181818181817,3.3555555555555556,3.3555555555555556,1686.2201328281335
Signature Farms,Signature Farms,Church Home,63112,43.95602101,-89.70316495,2014,50.81000000000009,87.44152183424842,16.961520097817267,4.041666666666667,4.041666666666667,4.133333333333334,4.133333333333334,1818.9596183052347
Signature Farms,Signature Farms,Field 1,63135,44.06131935,-89.78072505,2014,50.6377954648337,87.97383730265847,17.273515084409382,1.875,1.9090909090909092,2.05,2.1666666666666665,1707.7662023393052
