"field_fvid","crop_code","pixel_count","total_area","buffer_radius","cdl_year"
62992,42,15,7850.393377617,50,2010
62992,43,15,7850.393377617,50,2011
62992,50,9,4896.30647040904,50,2012
62992,1,14,6950.393377617,50,2013
62992,43,15,7850.393377617,50,2014
62992,5,15,7850.393377617,50,2015
62992,5,15,7850.393377617,50,2016
62992,43,15,7850.393377617,50,2017
62992,1,15,7850.393377617,50,2018
62992,53,15,7850.393377617,50,2019
62992,43,15,7850.393377617,50,2020
62992,50,15,7850.393377617,50,2021
62992,42,15,7850.393377617,50,2022
62992,43,15,7850.393377617,50,2023
62992,12,15,7850.393377617,50,2024
62995,43,16,7850.39350250736,50,2010
62995,42,16,7850.39350250736,50,2011
62995,12,16,7850.39350250736,50,2012
62995,43,14,7232.45535353199,50,2013
62995,1,16,7850.39350250736,50,2014
62995,36,9,3106.12176368013,50,2015
62995,43,16,7850.39350250736,50,2016
62995,1,16,7850.39350250736,50,2017
62995,50,15,6950.39350250736,50,2018
62995,43,16,7850.39350250736,50,2019
62995,42,16,7850.39350250736,50,2020
62995,12,16,7850.39350250736,50,2021
62995,5,16,7850.39350250736,50,2022
62995,43,16,7850.39350250736,50,2023
62995,42,16,7850.39350250736,50,2024
62996,42,15,7533.68438972393,50,2010
62996,43,6,2382.19270315021,50,2011
62996,5,7,2778.95619180053,50,2012
62996,1,15,7533.68438972393,50,2013
62996,1,12,5939.25395663828,50,2014
62996,46,16,7850.39340747753,50,2015
62996,12,16,7850.39340747753,50,2016
62996,1,15,6950.39340747753,50,2017
62996,43,16,7850.39340747753,50,2018
62996,5,11,5942.31338649988,50,2019
62996,28,8,4282.22186118364,50,2020
62996,28,8,4282.22186118364,50,2021
62996,5,15,6950.39340747753,50,2022
62996,1,10,5057.33391791582,50,2023
62996,5,16,7850.39340747753,50,2024
62999,42,7,2398.20361761376,50,2010
62999,43,16,7850.39343042299,50,2011
62999,42,16,7850.39343042299,50,2012
62999,1,16,7850.39343042299,50,2013
62999,43,16,7850.39343042299,50,2014
62999,43,14,6050.39343042299,50,2015
62999,5,16,7850.39343042299,50,2016
62999,43,16,7850.39343042299,50,2017
62999,1,16,7850.39343042299,50,2018
62999,42,16,7850.39343042299,50,2019
62999,43,15,6950.39343042299,50,2020
62999,42,15,6950.39343042299,50,2021
62999,50,15,6950.39343042299,50,2022
62999,42,16,7850.39343042299,50,2023
62999,43,16,7850.39343042299,50,2024
63001,42,18,7643.75680401572,50,2010
63001,47,19,7850.39343550452,50,2011
63001,42,19,7850.39343550452,50,2012
63001,43,19,7850.39343550452,50,2013
63001,12,19,7850.39343550452,50,2014
63001,50,19,7850.39343550452,50,2015
63001,43,19,7850.39343550452,50,2016
63001,42,19,7850.39343550452,50,2017
63001,53,19,7850.39343550452,50,2018
63001,43,19,7850.39343550452,50,2019
63001,50,19,7850.39343550452,50,2020
63001,42,19,7850.39343550452,50,2021
63001,43,19,7850.39343550452,50,2022
63001,12,19,7850.39343550452,50,2023
63001,46,19,7850.39343550452,50,2024
63003,43,15,7850.39338096976,50,2010
63003,12,14,7824.99009892344,50,2011
63003,50,15,7850.39338096976,50,2012
63003,43,15,7850.39338096976,50,2013
63003,1,15,7850.39338096976,50,2014
63003,42,6,3106.07735216618,50,2015
63003,43,15,7850.39338096976,50,2016
63003,1,14,7531.53266832232,50,2017
63003,53,14,7531.53266832232,50,2018
63003,43,15,7850.39338096976,50,2019
63003,42,15,7850.39338096976,50,2020
63003,42,15,7850.39338096976,50,2021
63003,12,15,7850.39338096976,50,2022
63003,43,15,7850.39338096976,50,2023
63003,42,14,7531.53266832232,50,2024
63004,43,16,7850.39342790842,50,2010
63004,42,16,7850.39342790842,50,2011
63004,12,16,7850.39342790842,50,2012
63004,43,16,7850.39342790842,50,2013
63004,1,16,7850.39342790842,50,2014
63004,5,13,6292.43502393365,50,2015
63004,43,16,7850.39342790842,50,2016
63004,1,16,7850.39342790842,50,2017
63004,42,16,7850.39342790842,50,2018
63004,43,16,7850.39342790842,50,2019
63004,53,16,7850.39342790842,50,2020
63004,12,16,7850.39342790842,50,2021
63004,1,7,3643.98122727871,50,2022
63004,43,16,7850.39342790842,50,2023
63004,5,10,5148.4146617353,50,2024
63008,43,7,2814.72554951906,50,2010
63008,47,16,7850.39347191341,50,2011
63008,12,16,7850.39347191341,50,2012
63008,43,16,7850.39347191341,50,2013
63008,42,16,7850.39347191341,50,2014
63008,12,16,7850.39347191341,50,2015
63008,43,16,7850.39347191341,50,2016
63008,42,7,3745.00470533967,50,2017
63008,42,16,7850.39347191341,50,2018
63008,43,16,7850.39347191341,50,2019
63008,46,13,5982.94698600657,50,2020
63008,42,16,7850.39347191341,50,2021
63008,53,16,7850.39347191341,50,2022
63008,43,16,7850.39347191341,50,2023
63008,12,15,6950.39347191341,50,2024
63009,5,9,4879.03547678143,50,2010
63009,43,15,7850.39340946823,50,2011
63009,5,8,3848.59167784452,50,2012
63009,12,15,7850.39340946823,50,2013
63009,43,15,7850.39340946823,50,2014
63009,1,15,7850.39340946823,50,2015
63009,42,15,7850.39340946823,50,2016
63009,43,15,7850.39340946823,50,2017
63009,5,7,3590.07643014193,50,2018
63009,50,15,7850.39340946823,50,2019
63009,43,15,7850.39340946823,50,2020
63009,53,15,7850.39340946823,50,2021
63009,1,15,7850.39340946823,50,2022
63009,5,15,7850.39340946823,50,2023
63009,43,15,7850.39340946823,50,2024
63011,43,17,7850.39346915,50,2010
63011,1,17,7850.39346915,50,2011
63011,1,17,7850.39346915,50,2012
63011,206,12,5923.47470467212,50,2013
63011,42,17,7850.39346915,50,2014
63011,12,17,7850.39346915,50,2015
63011,43,17,7850.39346915,50,2016
63011,1,17,7850.39346915,50,2017
63011,42,17,7850.39346915,50,2018
63011,43,17,7850.39346915,50,2019
63011,53,17,7850.39346915,50,2020
63011,43,13,6654.35127223609,50,2021
63011,12,13,6654.35127223609,50,2022
63011,43,17,7850.39346915,50,2023
63011,1,17,7850.39346915,50,2024
63014,43,15,7850.39347987622,50,2010
63014,12,15,7850.39347987622,50,2011
63014,42,15,7850.39347987622,50,2012
63014,1,11,5630.80621305853,50,2013
63014,1,9,5373.88704065233,50,2014
63014,5,6,2463.1451273337,50,2015
63014,43,15,7850.39347987622,50,2016
63014,46,11,5119.29495614022,50,2017
63014,53,8,4401.68092288077,50,2018
63014,43,15,7850.39347987622,50,2019
63014,42,15,7850.39347987622,50,2020
63014,12,15,7850.39347987622,50,2021
63014,43,15,7850.39347987622,50,2022
63014,5,15,7850.39347987622,50,2023
63014,42,15,7850.39347987622,50,2024
63016,42,16,7850.39340108633,50,2010
63016,43,16,7850.39340108633,50,2011
63016,12,16,7850.39340108633,50,2012
63016,50,16,7850.39340108633,50,2013
63016,43,14,7809.7033649683,50,2014
63016,42,16,7850.39340108633,50,2015
63016,50,16,7850.39340108633,50,2016
63016,43,16,7850.39340108633,50,2017
63016,46,16,7850.39340108633,50,2018
63016,42,16,7850.39340108633,50,2019
63016,43,16,7850.39340108633,50,2020
63016,42,13,6117.58917421103,50,2021
63016,12,16,7850.39340108633,50,2022
63016,42,16,7850.39340108633,50,2023
63016,43,16,7850.39340108633,50,2024
63017,42,16,7850.39349161088,50,2010
63017,43,16,7850.39349161088,50,2011
63017,42,16,7850.39349161088,50,2012
63017,50,16,7850.39349161088,50,2013
63017,43,16,7850.39349161088,50,2014
63017,12,16,7850.39349161088,50,2015
63017,42,16,7850.39349161088,50,2016
63017,43,12,6300.87717622519,50,2017
63017,50,16,7850.39349161088,50,2018
63017,36,16,7850.39349161088,50,2019
63017,12,15,6950.39349161088,50,2020
63017,43,16,7850.39349161088,50,2021
63017,42,16,7850.39349161088,50,2022
63017,43,7,3787.69637346268,50,2023
63017,50,16,7850.39349161088,50,2024
63018,5,14,6950.39345053956,50,2010
63018,12,15,7850.39345053956,50,2011
63018,43,8,4494.10375356674,50,2012
63018,50,15,7850.39345053956,50,2013
63018,12,15,7850.39345053956,50,2014
63018,42,14,7625.70329932496,50,2015
63018,50,15,7850.39345053956,50,2016
63018,1,15,7850.39345053956,50,2017
63018,5,8,4367.28054285049,50,2018
63018,42,15,7850.39345053956,50,2019
63018,43,15,7850.39345053956,50,2020
63018,42,15,7850.39345053956,50,2021
63018,12,15,7850.39345053956,50,2022
63018,42,15,7850.39345053956,50,2023
63018,43,15,7850.39345053956,50,2024
63019,1,16,7850.39347935235,50,2010
63019,42,16,7850.39347935235,50,2011
63019,43,16,7850.39347935235,50,2012
63019,5,11,5560.24235937512,50,2013
63019,1,16,7850.39347935235,50,2014
63019,42,14,7295.82146474859,50,2015
63019,43,16,7850.39347935235,50,2016
63019,1,16,7850.39347935235,50,2017
63019,42,16,7850.39347935235,50,2018
63019,43,16,7850.39347935235,50,2019
63019,12,15,6950.39347935235,50,2020
63019,43,16,7850.39347935235,50,2021
