grower,farm,field,field_fvid,lat,lng,year,tmin,tmax,gdd,cpba_count,cpba_value,cpbl_count,cpbl_value,cum_gdd,croptype,clas_prop,wei_prop,clas_intensity,wei_intensity,summer_avg_temp,summer_hottest_temp,summer_coldest_temp,summer_avg_percip,summer_heavy_rainfall_days,summer_temp_variability,summer_cold_days,winter_avg_temp,winter_hottest_temp,winter_coldest_temp,winter_heavy_rainfall_days,winter_temp_variability,winter_warm_day_count,winter_extreme_cold_days,spring_frost_free_days
Wisconsin Central Farms,WCF,1 Necedah,62992,44.05716407,-90.04041199,2014,44.8159740119612,83.1736326407655,13.7721130707734,3.30769230769231,3.30769230769231,3.9,3.9,1727.89572060556,43,0.4,0.466666666666667,0.0287119367741365,0.03342507635108,18.2900826446281,31.0,-4.7,3.3666666666666663,0.0,4.000550065484282,10.0,-12.111904761904762,7.0,-30.9,0.0,6.345407309111944,0.0,58.0,8.0
Wisconsin Central Farms,WCF,13 Nepco N 1/2,62996,44.20940619,-90.02138235,2014,45.4983280189088,79.7133700226054,12.8040452927663,4.5625,4.5,8.71428571428571,8.5,1258.99704982762,1,0.2,0.133333333333333,0.101800540739952,0.0934502718894879,18.627049180327866,31.1,-1.1,1.4738095238095237,1.0,4.098317269787967,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Wisconsin Central Farms,WCF,16 13th St,62999,44.10077545,-90.05052403,2014,45.2249637952706,82.7618414681425,14.2635778405426,1.6375,1.78181818181818,2.19,2.19,1688.06689033577,43,0.4,0.466666666666667,0.0701530289802226,0.0744855386560455,18.342276422764225,31.0,-4.7,1.4738095238095237,1.0,3.989021987250437,10.0,-11.59777777777778,7.0,-30.9,0.0,6.6687764451888105,0.0,59.0,8.0
Wisconsin Central Farms,WCF,26 Huebner,63009,44.17160647,-89.97587729,2014,45.5843871989286,82.2166645238048,13.2927373779899,2.18181818181818,2.0,4.55555555555556,4.55555555555556,1500.89254143737,43,0.4,0.466666666666667,0.0946345078795939,0.0902418065417565,18.63333333333333,31.1,-1.1,1.4738095238095237,1.0,4.082081329192509,8.0,-12.06333333333333,6.1,-31.1,0.0,6.670266911762775,0.0,58.0,5.0
Wisconsin Central Farms,WCF,7 N Home,63016,44.32976188,-89.93130015,2014,45.715178544157,78.7275681102824,12.2373538950579,1.2,1.2,5.5,5.5,1011.68219299746,43,0.4,0.466666666666667,0.0377555412401928,0.0338174719254781,18.627049180327866,31.1,-1.1,1.4738095238095237,1.0,4.098317269787967,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Wisconsin Central Farms,WCF,9 Oltesvig,63017,44.27475525,-89.94997499,2014,45.7689374166177,82.1295756098852,13.5491576746469,2.14545454545455,2.14545454545455,2.55,2.55,1599.9885748617,43,0.4,0.466666666666667,0.0679788205892244,0.0723044463642136,18.627049180327866,31.1,-1.1,1.4738095238095237,1.0,4.098317269787967,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Signature Farms,Signature Farms,Brewster S,63105,43.99964094,-89.88272054,2014,50.8100000000001,85.684503486392,17.5720287602155,0.668181818181818,0.71,0.922727272727273,0.99,1756.02291550759,43,0.2,0.333333333333333,0.0607174133682343,0.0672600122383007,18.2900826446281,31.0,-4.7,3.2642276422764227,0.0,4.000550065484282,10.0,-12.111904761904762,7.0,-30.9,0.0,6.345407309111944,0.0,58.0,8.0
Signature Farms,Signature Farms,Church Grain Bin East,63110,43.93368536,-89.66092758,2014,50.844481898702,87.5004790380605,17.875390156638,3.0,3.18181818181818,7.65,7.65,1685.85969959976,43,0.4,0.466666666666667,0.143613744546404,0.161636263606729,20.4,32.2,6.1,0.811764705882353,0.0,2.1494185260204675,0.0,-4.343283582089553,19.4,-27.2,0.0,7.267970911880322,4.0,15.0,6.0
Signature Farms,Signature Farms,Church Grain Bin West,63111,43.9344306,-89.66564034,2014,50.8412624676037,87.5391494682573,17.9765172851846,2.68181818181818,2.68181818181818,3.35555555555556,3.35555555555556,1686.22013282813,43,0.4,0.466666666666667,0.139012604061846,0.158501352064573,20.4,32.2,6.1,0.811764705882353,0.0,2.1494185260204675,0.0,-4.343283582089553,19.4,-27.2,0.0,7.267970911880322,4.0,15.0,6.0
Signature Farms,Signature Farms,Church Home,63112,43.95602101,-89.70316495,2014,50.8100000000001,87.4415218342484,16.9615200978173,4.04166666666667,4.04166666666667,4.13333333333333,4.13333333333333,1818.95961830523,43,0.4,0.466666666666667,0.0599224457439163,0.0755813336125297,20.4,32.2,6.1,0.811764705882353,0.0,2.1494185260204675,0.0,-4.343283582089553,19.4,-27.2,0.0,7.267970911880322,4.0,15.0,6.0
